customer_id,beneficial_owner_id,ownership_pct,ubo_25pct_flag,pep_flag,adverse_media_flag
CUST10001,CUST10001-BO1,45.2,1,0,1
CUST10001,CUST10001-BO2,32.1,1,0,0
CUST10001,CUST10001-BO3,22.7,0,0,0
CUST10002,CUST10002-BO1,11.3,0,0,0
CUST10002,CUST10002-BO2,2.9,0,0,0
CUST10002,CUST10002-BO3,85.9,1,0,0
CUST10007,CUST10007-BO1,100.0,1,0,0
CUST10011,CUST10011-BO1,56.5,1,0,0
CUST10011,CUST10011-BO2,9.7,0,0,0
CUST10011,CUST10011-BO3,2.8,0,0,0
CUST10011,CUST10011-BO4,31.1,1,0,0
CUST10012,CUST10012-BO1,47.4,1,0,0
CUST10012,CUST10012-BO2,12.0,0,0,0
CUST10012,CUST10012-BO3,31.8,1,0,0
CUST10012,CUST10012-BO4,8.7,0,1,0
CUST10025,CUST10025-BO1,13.9,0,0,0
CUST10025,CUST10025-BO2,63.2,1,0,0
CUST10025,CUST10025-BO3,7.5,0,0,0
CUST10025,CUST10025-BO4,15.4,0,0,0
CUST10033,CUST10033-BO1,86.9,1,0,0
CUST10033,CUST10033-BO2,2.1,0,0,0
CUST10033,CUST10033-BO3,8.5,0,0,0
CUST10033,CUST10033-BO4,2.5,0,0,0
CUST10034,CUST10034-BO1,66.8,1,0,0
CUST10034,CUST10034-BO2,16.6,0,0,0
CUST10034,CUST10034-BO3,5.3,0,0,0
CUST10034,CUST10034-BO4,11.3,0,0,0
CUST10035,CUST10035-BO1,100.0,1,0,1
CUST10043,CUST10043-BO1,100.0,1,0,0
CUST10050,CUST10050-BO1,2.6,0,0,0
CUST10050,CUST10050-BO2,21.4,0,0,0
CUST10050,CUST10050-BO3,44.3,1,0,0
CUST10050,CUST10050-BO4,31.7,1,0,0
CUST10051,CUST10051-BO1,33.9,1,0,0
CUST10051,CUST10051-BO2,48.8,1,0,0
CUST10051,CUST10051-BO3,17.4,0,0,0
CUST10052,CUST10052-BO1,100.0,1,1,0
CUST10053,CUST10053-BO1,100.0,1,0,0
CUST10055,CUST10055-BO1,15.9,0,0,0
CUST10055,CUST10055-BO2,13.6,0,0,0
CUST10055,CUST10055-BO3,70.5,1,0,0
CUST10062,CUST10062-BO1,100.0,1,0,0
CUST10067,CUST10067-BO1,86.2,1,0,0
CUST10067,CUST10067-BO2,13.8,0,0,0
CUST10069,CUST10069-BO1,100.0,1,0,0
CUST10070,CUST10070-BO1,100.0,1,0,0
CUST10073,CUST10073-BO1,100.0,1,0,0
CUST10075,CUST10075-BO1,100.0,1,0,1
CUST10076,CUST10076-BO1,18.2,0,0,0
CUST10076,CUST10076-BO2,5.2,0,0,0
CUST10076,CUST10076-BO3,59.7,1,0,0
CUST10076,CUST10076-BO4,16.9,0,0,0
CUST10080,CUST10080-BO1,74.2,1,0,0
CUST10080,CUST10080-BO2,22.1,0,0,0
CUST10080,CUST10080-BO3,3.6,0,0,0
CUST10086,CUST10086-BO1,16.6,0,0,0
CUST10086,CUST10086-BO2,25.0,0,0,0
CUST10086,CUST10086-BO3,58.4,1,0,1
CUST10088,CUST10088-BO1,24.6,0,0,1
CUST10088,CUST10088-BO2,75.4,1,0,0
CUST10092,CUST10092-BO1,17.5,0,0,0
CUST10092,CUST10092-BO2,32.5,1,0,0
CUST10092,CUST10092-BO3,50.0,1,0,0
CUST10094,CUST10094-BO1,17.1,0,0,0
CUST10094,CUST10094-BO2,82.9,1,0,0
CUST10104,CUST10104-BO1,65.8,1,0,0
CUST10104,CUST10104-BO2,31.7,1,0,0
CUST10104,CUST10104-BO3,2.5,0,0,0
CUST10107,CUST10107-BO1,52.3,1,0,0
CUST10107,CUST10107-BO2,0.7,0,0,0
CUST10107,CUST10107-BO3,47.1,1,0,0
CUST10112,CUST10112-BO1,35.1,1,0,0
CUST10112,CUST10112-BO2,64.9,1,0,0
CUST10113,CUST10113-BO1,100.0,1,0,0
CUST10115,CUST10115-BO1,100.0,1,1,0
CUST10116,CUST10116-BO1,79.4,1,0,0
CUST10116,CUST10116-BO2,20.6,0,0,0
CUST10118,CUST10118-BO1,75.3,1,0,0
CUST10118,CUST10118-BO2,15.6,0,0,0
CUST10118,CUST10118-BO3,9.1,0,0,0
CUST10120,CUST10120-BO1,8.0,0,0,0
CUST10120,CUST10120-BO2,86.8,1,0,0
